Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробной1;Площадь гардеробной2;Площадь гардеробной3;Площадь гардеробной4;Совмещенный санузел;Высота потолков;Акция;Угловая;Над проходом
ЖК Яркий;2;1;2 Е;;48,6;https://drive.google.com/uc?id=1o0uH4jT10V4UBh7Fc6OH3cZiR8uIkaMF;2;квартира;;;1;1;;нет;;4,3;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659197;;;;;;;;;;Да;Нет
ЖК Яркий;2;2;СТ Г;;31,7;https://drive.google.com/uc?id=1aSns6NDs5TXhNTNqtxN6ZJTRD0GbhEEG;0;квартира;;;1;1;;да;;3,9;;;;5;;;;;;;;;;;;;;22,8;;;;;;;;;;;Свободно;;;;5659198;;;;;;;;;;Нет;Нет
ЖК Яркий;2;3;2 Б;;36,2;https://drive.google.com/uc?id=1NueU_6ny8urxhom8eAC6YXkOL8fsJxku;2;квартира;;;1;1;;нет;;4,6;;;;6,6;;;;;;;;;;;;;;16,1;8,9;;;;;;;;;;Свободно;;;;5659199;;;;;;;;;;Нет;Нет
ЖК Яркий;2;4;2 В;;42,5;https://drive.google.com/uc?id=1aLGvXuiu1JT1zG_AVKy8xTvrOaaAJbsh;2;квартира;;;1;1;;нет;;4,3;;;;5,6;;;;;;;;;;;;;;18,2;14,4;;;;;;;;;;Свободно;;;;5659200;;;;;;;;;;Нет;Нет
ЖК Яркий;2;5;2 А;;33,5;https://drive.google.com/uc?id=16_MWLgMVqmAMJh1uf3BfvmZM-Zn6y3Jh;2;квартира;;;2;1;;нет;;4;;;;3,7;;;;;;;;;;;;;;16,8;9;;;;;;;;;;Свободно;;;;5659201;;;;;;;;;;Нет;Нет
ЖК Яркий;2;6;2 Ж;;49;https://drive.google.com/uc?id=1KlOcJtGu2Qw_TAouH8CB8uBzSOEo2jpI;2;квартира;;;2;1;;нет;;3,8;;;;7,2;;9,8;;0,9;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659202;;;;;;;;;;Нет;Нет
ЖК Яркий;2;7;СТ В;;28,8;https://drive.google.com/uc?id=1RWi3pf00llftC7ghiudnzkBP8MbhAClI;0;квартира;;;2;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659203;;;;;;;;;;Нет;Нет
ЖК Яркий;2;8;СТ Б;;28,8;https://drive.google.com/uc?id=1RlwNdxrTi6bL8i_vbgXWpTu1r6oFGww5;0;квартира;;;2;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659204;;;;;;;;;;Нет;Нет
ЖК Яркий;2;9;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;2;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659205;;;;;;;;;;Да;Нет
ЖК Яркий;2;10;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;2;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Свободно;;;;5659206;;;;;;;;;;Нет;Нет
ЖК Яркий;2;11;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;2;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659207;;;;;;;;;;Нет;Нет
ЖК Яркий;2;12;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;2;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Свободно;;;;5659208;;;;;;;;;;Нет;Нет
ЖК Яркий;2;13;1 А;;35,2;https://drive.google.com/uc?id=11W1MVzryvo4zyEcp4iCv5CQLMy2gjKVg;1;квартира;;;2;1;;нет;;3,4;;;;6,4;;7;;0,8;;;;;;;;;;17,6;;;;;;;;;;;Свободно;;;;5659209;;;;;;;;;;Нет;Нет
ЖК Яркий;2;14;2 А;;33,5;https://drive.google.com/uc?id=16_MWLgMVqmAMJh1uf3BfvmZM-Zn6y3Jh;2;квартира;;;3;1;;нет;;4;;;;3,7;;;;;;;;;;;;;;16,8;9;;;;;;;;;;Свободно;;;;5659210;;;;;;;;;;Нет;Нет
ЖК Яркий;2;15;2 Ж;;49;https://drive.google.com/uc?id=1KlOcJtGu2Qw_TAouH8CB8uBzSOEo2jpI;2;квартира;;;3;1;;нет;;3,8;;;;7,2;;9,8;;0,9;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659211;;;;;;;;;;Нет;Нет
ЖК Яркий;2;16;СТ В;;28,8;https://drive.google.com/uc?id=1RWi3pf00llftC7ghiudnzkBP8MbhAClI;0;квартира;;;3;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659212;;;;;;;;;;Нет;Нет
ЖК Яркий;2;17;СТ Б;;28,8;https://drive.google.com/uc?id=1RlwNdxrTi6bL8i_vbgXWpTu1r6oFGww5;0;квартира;;;3;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659213;;;;;;;;;;Нет;Нет
ЖК Яркий;2;18;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;3;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659214;;;;;;;;;;Да;Нет
ЖК Яркий;2;19;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;3;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Свободно;;;;5659215;;;;;;;;;;Нет;Нет
ЖК Яркий;2;20;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;3;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659216;;;;;;;;;;Нет;Нет
ЖК Яркий;2;21;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;3;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Свободно;;;;5659217;;;;;;;;;;Нет;Нет
