Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробных
Этто;1;5;1К;;41,5;https://drive.google.com/open?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;2;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;65000;2697500;Бронь;;;;;;;4
Этто;1;6;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;2;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;65500;2737900;Свободно;;;;;;;
Этто;1;7;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;2;1;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;67500;3408750;Свободно;;;;;;;1,4
Этто;1;8;3Е;;82;https://drive.google.com/uc?id=1eU5BCKdQ_Epx_mQavBjWWYEIUgMibJwz;3;;;;2;1;;нет;2;4,9;1,9;;;9,8;1;6,5;1;8,6;;;;;;;;;;52,2;13,8;14;24,4;;;;;;61500;5043000;Свободно;;;;;;;2,4
Этто;1;9;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;2;1;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;69000;2277000;Свободно;;;;;;;
Этто;1;10;2Е;;49,1;https://drive.google.com/uc?id=1ZLvGvsPnLM5_ixN3K6qVxFVj1eLIi18S;2;;;;3;1;;нет;1;3,7;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;59400;2916540;Продано;;;11.10.19;;;;
Этто;1;11;2К;;53,1;https://drive.google.com/uc?id=1lcBryL4hLzm241THcp4HMgmhX2lCrJBb;2;;;;3;1;;нет;1;4,6;;;;4,8;;8,8;1;3;;;;;;;;;;33,4;20;13,4;;;;;;;68000;3685140;Бронь;;;;;;;
Этто;1;12;2К;;48;https://drive.google.com/uc?id=1VF96mZ6AqaR00pNC3XpOtANI49jqmGa8;2;;;;3;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;27,7;11,7;16;;;;;;;66138;3174600;Продано;;;27.09.19;;;;
Этто;1;13;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;3;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58000;2407000;Продано;;;15.07.19;;;;4
Этто;1;14;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;3;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58000;2407000;Продано;;;25.07.19;;;;4
Этто;1;15;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;3;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;57420;2400156;Продано;;;31.08.19;;;;
Этто;1;16;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;3;1;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;14,9;10,6;;;;;;;64000;3232000;Бронь;;;;;;;1,4
Этто;1;17;3Е;;82;https://drive.google.com/uc?id=1eU5BCKdQ_Epx_mQavBjWWYEIUgMibJwz;3;;;;3;1;;нет;2;4,9;1,9;;;9,8;1;6,5;1;8,6;;;;;;;;;;52,2;13,8;14;24,4;;;;;;54000;4428000;Свободно;;;;;;;2,4
Этто;1;18;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;3;1;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;62500;2062500;Продано;;;05.08.19;;;;
Этто;1;19;2Е;;49,1;https://drive.google.com/uc?id=1ZLvGvsPnLM5_ixN3K6qVxFVj1eLIi18S;2;;;;4;1;;нет;1;3,7;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;60250;3035608;Бронь;;;;;;;
Этто;1;20;2К;;53,1;https://drive.google.com/uc?id=1lcBryL4hLzm241THcp4HMgmhX2lCrJBb;2;;;;4;1;;нет;1;4,6;;;;4,8;;8,8;1;3;;;;;;;;;;33,4;20;13,4;;;;;;;55500;2947050;Продано;;;24.04.19;;;;
Этто;1;21;2К;;48;https://drive.google.com/uc?id=1VF96mZ6AqaR00pNC3XpOtANI49jqmGa8;2;;;;4;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;27,7;11,7;16;;;;;;;66388;3186625;Продано;;;23.09.19;;;;
Этто;1;22;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;4;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58250;2417375;Продано;;;29.06.19;;;;4
Этто;1;23;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;4;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58250;2417375;Продано;;;17.08.19;;;;4
Этто;1;24;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;4;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;58250;2434850;Продано;;;26.08.19;;;;
Этто;1;25;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;4;1;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;64250;3244625;Продано;;;31.07.19;;;;1,4
Этто;1;26;3Е;;82;https://drive.google.com/uc?id=1rreoV8SvI94wHWXvlLEADm3tOXAY2Vuc;3;;;;4;1;;нет;2;4,9;1,9;;;9,8;1;6,5;1;8,6;;;;;;;;;;52,2;13,8;14;24,4;;;;;;52500;4305000;Продано;;;20.08.19;;;;2,4
Этто;1;27;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;4;1;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;62800;2072400;Продано;;;09.08.19;;;;
Этто;1;28;2Е;;49,1;https://drive.google.com/uc?id=1ZLvGvsPnLM5_ixN3K6qVxFVj1eLIi18S;2;;;;5;1;;нет;1;3,7;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;58500;2872350;Продано;;;31.05.19;;;;
Этто;1;29;2К;;53,1;https://drive.google.com/uc?id=1lcBryL4hLzm241THcp4HMgmhX2lCrJBb;2;;;;5;1;;нет;1;4,6;;;;4,8;;8,8;1;3;;;;;;;;;;33,4;20;13,4;;;;;;;56000;2973600;Продано;;;25.04.19;;;;
Этто;1;30;2К;;48;https://drive.google.com/uc?id=1VF96mZ6AqaR00pNC3XpOtANI49jqmGa8;2;;;;5;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;27,7;11,7;16;;;;;;;64634;3102450;Продано;;;18.09.19;;;;
Этто;1;31;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;5;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;56000;2324000;Продано;;;23.04.19;;;;4
Этто;1;32;1К;;41,5;https://drive.google.com/uc?id=1BbIlRwGrYa2nCSn4xzC68IawpeJkHrjg;1;;;;5;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;61500;2552250;Продано;;;08.05.19;;;;4
Этто;1;33;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;5;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;62000;2643850;Свободно;;;;;;;
Этто;1;34;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;5;1;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;64500;3257250;Бронь;;;;;;;1,4
Этто;1;35;3Е;;82;https://drive.google.com/uc?id=1eU5BCKdQ_Epx_mQavBjWWYEIUgMibJwz;3;;;;5;1;;нет;2;4,9;1,9;;;9,8;1;6,5;1;8,6;;;;;;;;;;52,2;13,8;14;24,4;;;;;;55000;4510000;Бронь;;;;;;;2,4
Этто;1;36;1C;;33;https://drive.google.com/uc?id=1tXioj1adPThZ3BNUiSz8tmp6VcAwd4YJ;1;;;;5;1;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;62818;2072994;Продано;;;20.08.19;;;;
Этто;1;37;2Е;;49,1;https://drive.google.com/uc?id=1ZLvGvsPnLM5_ixN3K6qVxFVj1eLIi18S;2;;;;6;1;;нет;1;3,7;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;58750;2884625;Продано;;;10.06.19;;;;
Этто;1;38;2К;;53,1;https://drive.google.com/uc?id=1lcBryL4hLzm241THcp4HMgmhX2lCrJBb;2;;;;6;1;;нет;1;4,6;;;;4,8;;8,8;1;3;;;;;;;;;;33,4;20;13,4;;;;;;;66082;3508980;Продано;;;12.08.19;;;;
Этто;1;39;2К;;48,1;https://drive.google.com/uc?id=1XqB5lGfSlR5MdlEHl5Mov89yD5lt9Cm8;2;;;;6;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;27,7;16;11,7;;;;;;;64102;3083330;Продано;;;12.08.19;;;;
Этто;1;40;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;6;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58750;2438125;Продано;;;30.05.19;;;;4
Этто;1;41;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;6;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58750;2438125;Продано;;;29.07.19;;;;4
Этто;1;42;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;6;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;58750;2455750;Продано;;;17.05.19;;;;
Этто;1;43;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;6;1;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;64750;3269875;Бронь;;;;;;;1,4
Этто;1;44;3Е;;82;https://drive.google.com/uc?id=1rreoV8SvI94wHWXvlLEADm3tOXAY2Vuc;3;;;;6;1;;нет;2;4,9;1,9;;;9,8;1;6,5;1;8,6;;;;;;;;;;52,2;13,8;14;24,4;;;;;;53500;4387000;Продано;;;13.09.19;;;;2,4
Этто;1;45;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;6;1;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;65400;2158200;Бронь;;;;;;;
Этто;1;46;2Е;;49,1;https://drive.google.com/uc?id=1ZLvGvsPnLM5_ixN3K6qVxFVj1eLIi18S;2;;;;7;1;;нет;1;3,7;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;59000;2896900;Продано;;;14.06.19;;;;
Этто;1;47;2К;;53,1;https://drive.google.com/uc?id=1lcBryL4hLzm241THcp4HMgmhX2lCrJBb;2;;;;7;1;;нет;1;4,6;;;;4,8;;8,8;1;3;;;;;;;;;;33,4;20;13,4;;;;;;;60000;3186000;Продано;;;27.05.19;;;;
Этто;1;48;2К;;48,1;https://drive.google.com/uc?id=1XqB5lGfSlR5MdlEHl5Mov89yD5lt9Cm8;2;;;;7;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;27,7;16;11,7;;;;;;;65000;3126500;Продано;;;26.07.19;;;;
Этто;1;49;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;7;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;59000;2448500;Продано;;;17.06.19;;;;4
Этто;1;50;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;7;1;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;58410;2424015;Продано;;;29.06.19;;;;4
Этто;1;51;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;7;1;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;58410;2441538;Продано;;;29.06.19;;;;
