Проект;Номер дома;Номер квартиры;Тип планировки;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Вид из окна;Этаж;Секция;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Цена за кв,м,;Цена за помещение, руб,;Статус;Дополнительный статус;Дата старта продаж;Дата продажи
Дружный;20,04;255;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;4;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;44 640,00;1 736 496,00;Продано;;;15.01.19
Дружный;20,04;256;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;4;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;45 985,86;1 788 850,00;Продано;;;23.11.18
Дружный;20,04;259;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;5;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;47 000,00;1 828 300,00;Продано;;;04.12.18
Дружный;20,04;260;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;5;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;45 985,86;1 788 850,00;Продано;;;01.12.18
Дружный;20,04;209;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;4;6;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;54 250,00;2 110 325,00;Продано;;;29.07.19
Дружный;20,04;210;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;4;6;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;52 000,00;2 022 800,00;Продано;;;08.05.19
Дружный;20,04;214;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;5;6;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;48 750,00;1 896 375,00;Продано;;;12.02.19
Дружный;20,04;215;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;5;6;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;52 485,86;2 041 700,00;Продано;;;29.05.19
Дружный;20,04;279;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;10;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;45 120,00;1 755 168,00;Продано;;;17.12.18
Дружный;20,04;280;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;10;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;49 750,00;1 935 275,00;Продано;;;18.02.19
Дружный;20,04;239;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;10;6;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;55 250,00;2 149 225,00;Свободно;;;
Дружный;20,04;240;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;10;6;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;53 000,00;2 061 700,00;Продано;;;25.07.19
Дружный;20,04;263;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;6;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;50 750,00;1 974 175,00;Продано;;;13.03.19
Дружный;20,04;264;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;6;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;47 464,65;1 846 375,00;Продано;;;11.02.19
Дружный;20,04;267;1К;38,9;https://drive.google.com/uc?id=1zHxFr-7CQPJuT0CK1PfquAp3SFe5lvW1;1;;на улицу;7;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;47 000,00;1 828 300,00;Продано;;;17.12.18
Дружный;20,04;268;1К;38,9;https://drive.google.com/uc?id=1pXqJvPGGvdKaCIc9fVpRefZsfsdhjMuV;1;;на улицу;7;7;;1;3,8;;;;7,1;0;9,2;1;7,1;;;;;;;;;;15,2;;;;;;;;;55 250,00;2 149 225,00;Продано;;;26.03.19
