Номер дома;Общая площадь, кв,м,;Комнатность;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Тип санузла 1;Размер сан узла №2;Тип санузла 2;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Жилая площадь за кв,м,;Размер 1-й комнаты;Размер 2-й комнаты;Размер 3-й комнаты;Размер 4-й комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Площадь гардеробных;Месяц продажи;Год продажи;планировка_1;планировка_2
7;44.2;2ккв;2;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;11.9;0.0;0.0;100602.0;4446608.4;Продажа;0.0;8;2019;У;ДС
7;38.8;2ккв(с);2;1;2;1;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.9;0.0;9.3;0.0;0.0;0.0;3.6;21.7;12.5;9.2;0.0;0.0;128068.0;4969038.4;Свободно;0.0;12;2019;У;НС
7;32.4;1ккв;2;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.3;0.0;0.0;0.0;3.6;11.5;11.5;0.0;0.0;0.0;99855.3456790124;3235313.2;Продажа;2.7;12;2018;Л;Н
7;32.6;1ккв;2;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;11.2;0.0;0.0;0.0;3.6;12.0;12.0;0.0;0.0;0.0;96638.6993865031;3150421.6;Продажа;2.2;12;2018;Л;Н
7;55.6;2ккв;2;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.4;1.0;14.6;0.0;0.0;0.0;3.6;25.6;12.2;13.4;0.0;0.0;98904.4820143885;5499089.2;Продажа;2.7;12;2018;Р;ДН
7;45.7;2ккв;3;1;1;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;5.2;0.0;10.6;1.0;4.2;0.0;3.6;23.5;11.6;11.9;0.0;0.0;110469.0;5048433.3;Стр. Резерв;0.0;12;2019;У;ДС
7;40.5;2ккв(с);3;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;8.9;2.0;3.6;3.2;3.6;21.7;12.5;9.2;0.0;0.0;107086.0;4336983.0;Продажа;0.0;8;2019;У;НС
7;34.1;1ккв;3;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.3;1.0;6.9;0.0;3.6;11.5;11.5;0.0;0.0;0.0;132211.0;4508395.1;Стр. Резерв;2.7;12;2019;Л;Н
7;33.2;1ккв;3;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.7;1.0;3.6;0.0;3.6;12.0;12.0;0.0;0.0;0.0;127765.0;4241798.0;Стр. Резерв;2.2;12;2019;Л;Н
7;58.0;2ккв;3;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.4;1.0;14.6;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;94811.8827586207;5499089.2;Продажа;2.7;12;2018;Р;ДН
