iter	RMSE
1	454.7777312
2	448.3553301
3	442.047271
4	436.1913849
5	430.1573402
6	425.0071943
7	419.4876046
8	414.5419253
9	410.9950808
10	406.3842242
11	401.4344907
12	397.1546898
13	392.9855646
14	389.1566339
15	385.0050333
16	381.5888621
17	377.8942647
18	374.4734225
19	371.0369133
20	367.8847516
21	364.9699265
22	362.5360674
23	359.5183969
24	356.9892973
25	354.3393416
26	351.7664334
27	349.1672911
28	346.6612854
29	344.4931202
30	342.3896371
31	340.7088041
32	338.9092999
33	336.1672479
34	334.1597258
35	332.1657692
36	330.3179938
37	328.6430192
38	326.5853148
39	325.1504287
40	323.2347974
41	321.4005948
42	320.4968607
43	319.2191943
44	317.8302068
45	316.8566009
46	316.1675507
47	314.8301756
48	313.2939596
49	312.0613253
50	310.9732107
51	309.9626352
52	308.5389038
53	307.6105725
54	306.2437187
55	305.2911279
56	304.1306572
57	303.0710427
58	302.3596477
59	301.150945
60	300.5332388
61	299.6263851
62	298.6394358
63	298.3099527
64	297.6023139
65	296.8008961
66	295.5101438
67	294.6777707
68	293.7494538
69	293.2533093
70	292.3726366
71	291.4080013
72	290.5963863
73	290.06017
74	289.4799058
75	288.9436633
76	288.0183947
77	287.1525316
78	286.542754
79	285.6778418
80	285.3540171
81	284.769127
82	284.0275213
83	283.4054238
84	282.913875
85	282.4931942
86	282.2198896
87	281.6366512
88	281.4686717
89	280.8529721
90	280.3747967
91	279.8219981
92	279.1456447
93	278.7543392
94	278.307835
95	277.9277015
96	277.4276384
97	276.8315453
98	276.2627398
99	275.7233084
100	275.222415
101	274.9855051
102	274.3631919
103	274.058619
104	273.3272695
105	272.7345183
106	272.3100439
107	272.1395048
108	271.9792261
109	271.7487029
110	271.318789
111	270.6109689
112	269.9851542
113	269.4285762
114	269.0808041
115	268.4888242
116	268.0215344
117	267.6385197
118	267.2451748
119	266.9377894
120	266.7825051
121	266.5163566
122	266.3080716
123	266.2121291
124	265.8648033
125	265.4447099
126	265.2713073
127	264.9168165
128	264.6487502
129	264.3642195
130	264.1579624
131	263.9285647
132	263.7502956
133	263.3183518
134	262.816754
135	262.3630253
136	262.1477151
137	261.857859
138	261.8107735
139	261.4601847
140	261.435905
141	261.1709995
142	260.7191664
143	260.4725751
144	260.2732775
145	260.0420484
146	259.6798679
147	259.2411987
148	258.7660059
149	258.5627803
150	258.2363312
151	257.8425688
152	257.7191444
153	257.4530242
154	257.1270938
155	256.7954742
156	256.4105388
157	256.1041837
158	255.7855056
159	255.6964843
160	255.4653665
161	255.3483417
162	254.9252624
163	254.5835066
164	254.4543605
165	253.9990785
166	253.8334058
167	253.5654227
168	253.3161431
169	252.9659002
170	252.740827
171	252.423997
172	252.2464467
173	251.8474155
174	251.6391714
175	251.2187749
176	251.0221052
177	250.9327693
178	250.7132515
179	250.633752
180	250.4590957
181	250.0713657
182	249.9982708
183	249.7581611
184	249.6055594
185	249.5161431
186	249.2948476
187	249.1365834
188	248.9356287
189	248.5850477
190	248.1165546
191	247.7291523
192	247.5519943
193	247.4906686
194	247.3930232
195	247.320213
196	247.1349032
197	246.9024775
198	246.874476
199	246.8458466
200	246.7413396
201	246.553175
202	246.4102475
203	246.2229855
204	246.101454
205	246.0798141
206	245.6427595
207	245.6238295
208	245.3771203
209	245.2929428
210	245.1342665
211	245.027284
212	244.6458624
213	244.4837252
214	244.4521574
215	244.3588721
216	244.3233287
217	244.1187126
218	243.9274939
219	243.7738929
220	243.6737638
221	243.467976
222	243.1696839
223	242.9927978
224	242.8079353
225	242.7736468
226	242.6347499
227	242.3989255
228	242.1481499
229	242.0024008
230	241.9534999
231	241.6942493
232	241.4829814
233	241.3400709
234	241.2823322
235	240.9898739
236	240.7440051
237	240.5995418
238	240.5164933
239	240.4953737
240	240.3527162
241	240.0826766
242	239.942
243	239.8768079
244	239.6297741
245	239.596862
246	239.4655055
247	239.41969
248	239.2485866
249	239.0497096
250	239.0315784
251	238.870664
252	238.8531417
253	238.6193037
254	238.6097872
255	238.565154
256	238.4219421
257	238.1416812
258	238.050704
259	237.8603799
260	237.8112062
261	237.5268628
262	237.3702336
263	237.2415441
264	237.09617
265	237.0522508
266	236.9965116
267	236.8271532
268	236.8266726
269	236.653167
270	236.4880339
271	236.1273526
272	235.9848627
273	235.82798
274	235.7902865
275	235.6290673
276	235.5625803
277	235.5453497
278	235.371149
279	235.2284508
280	235.0526329
281	234.9923573
282	234.8875548
283	234.8127431
284	234.7041061
285	234.5506009
286	234.4529923
287	234.3282785
288	234.1835338
289	234.14418
290	233.9419995
291	233.7273921
292	233.5061883
293	233.3568117
294	233.2955864
295	233.2119836
296	233.029973
297	232.9019356
298	232.7161093
299	232.5448493
300	232.4496679
301	232.2041165
302	232.1106777
303	231.7388507
304	231.5935497
305	231.5003719
306	231.2546381
307	231.2035831
308	231.1906091
309	231.137205
310	230.93643
311	230.5656711
312	230.4542196
313	230.3233396
314	230.2359705
315	230.2354363
316	230.220231
317	230.1636108
318	229.9849268
319	229.8293638
320	229.7439323
321	229.7054722
322	229.5889417
323	229.2583249
324	229.2581487
325	229.0923007
326	228.7477734
327	228.7087043
328	228.5631717
329	228.4270856
330	228.4052661
331	228.2873241
332	228.1810992
333	227.942321
334	227.8218832
335	227.6875148
336	227.5704269
337	227.4244323
338	227.3349721
339	227.222453
340	227.1306987
341	226.9566233
342	226.8120061
343	226.7028955
344	226.6724716
345	226.566948
346	226.2774394
347	226.1778269
348	226.0144131
349	225.7250497
350	225.5840047
351	225.4316017
352	225.4022197
353	225.2930293
354	225.1839898
355	225.0370099
356	224.9427646
357	224.6909458
358	224.5559301
359	224.4763015
360	224.3418113
361	224.1019813
362	223.9333639
363	223.8073731
364	223.7116252
365	223.5702131
366	223.4878184
367	223.3645925
368	223.3644199
369	223.1451514
370	223.0785562
371	222.9580763
372	222.8851329
373	222.7978873
374	222.5478812
375	222.547708
376	222.5099757
377	222.3063719
378	222.2519398
379	222.2124969
380	222.1566122
381	222.0983827
382	221.9002914
383	221.8149177
384	221.7059064
385	221.6419598
386	221.5744488
387	221.5605298
388	221.5255049
389	221.3896285
390	221.3678367
391	221.1785529
392	221.00366
393	220.9478185
394	220.8312387
395	220.7132083
396	220.6178566
397	220.4063667
398	220.3659104
399	220.2378705
400	220.1712129
401	220.1125833
402	220.0574751
403	219.8668294
404	219.8436843
405	219.6500366
406	219.5894872
407	219.5445743
408	219.4383586
409	219.438116
410	219.3056003
411	219.2642041
412	219.1714047
413	219.0902463
414	218.923957
415	218.895647
416	218.7491664
417	218.6500365
418	218.392769
419	218.2870104
420	218.286859
421	218.1848941
422	218.151919
423	218.1304349
424	217.9099603
425	217.8004864
426	217.75351
427	217.6765034
428	217.6433838
429	217.5398599
430	217.4586751
431	217.3541257
432	217.3194112
433	217.1106777
434	216.9946758
435	216.9161812
436	216.7736303
437	216.6073083
438	216.570728
439	216.5521134
440	216.442224
441	216.4149211
442	216.2775909
443	216.1155675
444	216.0310688
445	216.0047252
446	215.8664452
447	215.8033882
448	215.7522588
449	215.6406679
450	215.4899729
451	215.4875706
452	215.4873576
453	215.4457646
454	215.4250928
455	215.2849484
456	215.1355486
457	214.8902534
458	214.8899032
459	214.8646329
460	214.7928808
461	214.7289101
462	214.65825
463	214.620944
464	214.5929988
465	214.5255028
466	214.4513775
467	214.3898565
468	214.2944923
469	214.1600282
470	214.0657965
471	213.9335312
472	213.8529859
473	213.7967279
474	213.7707444
475	213.7696796
476	213.7492065
477	213.5730688
478	213.4997133
479	213.4324823
480	213.2703288
481	213.228088
482	213.1835829
483	213.1655337
484	213.1407652
485	213.0995152
486	213.013079
487	212.9626244
488	212.8972415
489	212.7584086
490	212.6956212
491	212.695509
492	212.6245703
493	212.5507493
494	212.4511811
495	212.4024599
496	212.3509179
497	212.2135183
498	212.1289363
499	212.110382
500	212.0491081
501	212.0075851
502	211.9918604
503	211.7895169
504	211.7116416
505	211.6468003
506	211.5181775
507	211.5071032
508	211.4836248
509	211.3487794
510	211.2940353
511	211.2047742
512	211.1047277
513	211.0860224
514	211.0118893
515	210.806045
516	210.6911549
517	210.6775799
518	210.6624443
519	210.5933748
520	210.5312671
521	210.5303428
522	210.4028349
523	210.2381001
524	210.227133
525	210.2085941
526	210.178822
527	210.1388339
528	210.0681591
529	210.0677222
530	209.8996548
531	209.7817218
532	209.7815468
533	209.746953
534	209.7089397
535	209.6396524
536	209.5438171
537	209.5280652
538	209.5240087
539	209.349665
540	209.2580306
541	209.2434239
542	209.198308
543	209.1965442
544	209.1626173
545	209.1257705
546	209.0035978
547	209.0033343
548	208.9708693
549	208.9531415
550	208.8080643
551	208.685257
552	208.6425895
553	208.6417713
554	208.59803
555	208.4788853
556	208.4725719
557	208.4142801
558	208.3866565
559	208.298106
560	208.1501382
561	208.0623517
562	208.0620693
563	208.0495758
564	208.0398257
565	208.0191858
566	207.9734865
567	207.8806891
568	207.720326
569	207.6973121
570	207.6580749
571	207.6578186
572	207.5165243
573	207.5026886
574	207.3574642
575	207.3458932
576	207.2213246
577	207.181572
578	207.1458439
579	207.0251629
580	206.9831909
581	206.9721222
582	206.8036073
583	206.7232766
584	206.6904801
585	206.5762068
586	206.5291395
587	206.5273351
588	206.5029972
589	206.4515029
590	206.437747
591	206.3827853
592	206.251218
593	206.1472983
594	206.1095295
595	205.9775827
596	205.9277577
597	205.7243039
598	205.7011292
599	205.618859
600	205.5984404
601	205.3473669
602	205.3465534
603	205.2370595
604	205.234877
605	205.1993736
606	205.1875467
607	205.140975
608	205.0935067
609	205.0409422
610	204.9685544
611	204.967014
612	204.9029679
613	204.8489386
614	204.8070673
615	204.7354487
616	204.6400168
617	204.616827
618	204.5542417
619	204.5539007
620	204.5313922
621	204.4896534
622	204.3885653
623	204.3711765
624	204.3652661
625	204.2826826
626	204.2330374
627	204.207545
628	204.1585469
629	204.1153918
630	204.1072885
631	204.0994368
632	204.0643115
633	204.063214
634	203.9900024
635	203.9565414
636	203.9484408
637	203.9098866
638	203.7994857
639	203.7701015
640	203.6210971
641	203.6141462
642	203.5885492
643	203.5731481
644	203.5730308
645	203.5424595
646	203.5085641
647	203.4474245
648	203.2649519
649	203.1766628
650	203.0871332
651	202.9966417
652	202.8604803
653	202.8567792
654	202.8172029
655	202.7808598
656	202.7420655
657	202.6655324
658	202.574771
659	202.4362584
660	202.3930264
661	202.3844732
662	202.3597005
663	202.2647813
664	202.2042098
665	202.1753109
666	202.1479608
667	202.0745095
668	201.9288539
669	201.8803302
670	201.7912443
671	201.7757333
672	201.7756605
673	201.7682821
674	201.6057248
675	201.5756747
676	201.4559944
677	201.4497615
678	201.4495155
679	201.2768512
680	201.2690623
681	201.2667456
682	201.2347748
683	201.0309363
684	201.030845
685	201.0294022
686	200.8316806
687	200.768592
688	200.6690965
689	200.650937
690	200.6079516
691	200.6059934
692	200.5640875
693	200.505877
694	200.4928668
695	200.3493965
696	200.3210732
697	200.2857436
698	200.2857527
699	200.2696759
700	200.2125626
701	200.1989557
702	200.1648151
703	199.9779703
704	199.8258076
705	199.8062026
706	199.7109798
707	199.71075
708	199.710704
709	199.5037625
710	199.5037625
711	199.5033025
712	199.482405
713	199.4667789
714	199.4052837
715	199.3984805
716	199.3952122
717	199.3251671
718	199.2592432
719	199.2305621
720	199.2270884
721	199.2268581
722	199.2221772
723	199.1615375
724	199.0980765
725	199.0932543
726	198.9948399
727	198.9881702
728	198.9776809
729	198.9054861
730	198.8384812
731	198.8136545
732	198.7588658
733	198.7588289
734	198.7556609
735	198.7029257
736	198.6662088
737	198.6618381
738	198.5684055
739	198.5125874
740	198.4216934
741	198.4209718
742	198.4144031
743	198.3960003
744	198.3689897
745	198.3653251
746	198.2309555
747	198.206599
748	198.147103
749	198.0898781
750	197.9005735
751	197.8938391
752	197.8918725
753	197.8627706
754	197.86265
755	197.7974172
756	197.7972595
757	197.7909763
758	197.6941143
759	197.6845406
760	197.6845313
761	197.6812905
762	197.6255191
763	197.5972141
764	197.5224608
765	197.5222471
766	197.5184738
767	197.4854129
768	197.484818
769	197.4848087
770	197.4270478
771	197.4119563
772	197.4117796
