iter	Passed	Remaining
0	627	3137354
1	698	1745216
2	1076	1792379
3	1428	1783974
4	1772	1771125
5	2128	1771307
6	2416	1723588
7	4030	2514953
8	4230	2346266
9	4450	2220886
10	4540	2059412
11	4630	1924783
12	4820	1849358
13	5065	1804120
14	5108	1697807
15	5357	1668759
16	5610	1644400
17	5917	1637861
18	6058	1588386
19	6202	1544527
20	6412	1520254
21	6507	1472451
22	6767	1464456
23	6858	1421977
24	7137	1420341
25	7379	1411720
26	7418	1366433
27	7690	1365577
28	7786	1334783
29	8039	1331939
30	8330	1335317
31	8343	1295265
32	8485	1277174
33	8511	1243113
34	8757	1242378
35	8796	1212881
36	9104	1221294
37	9526	1243916
38	9776	1243668
39	9822	1217967
40	10076	1218753
41	10342	1220872
42	10536	1214675
43	10563	1189805
44	10609	1168185
45	10889	1172722
46	11117	1171616
47	11158	1151197
48	11185	1130229
49	11421	1130684
50	11601	1125830
51	11848	1127425
52	12050	1124789
53	12291	1125771
54	12319	1107625
55	12603	1112730
56	12895	1118321
57	13160	1121368
58	13447	1126212
59	13684	1126651
60	13750	1113336
61	13992	1114403
62	14077	1103161
63	14144	1090902
64	14332	1088153
65	14564	1088782
66	14585	1073855
67	14816	1074605
68	15104	1079390
69	15122	1065055
70	15445	1072271
71	15589	1066995
72	15930	1075175
73	16134	1074066
74	16208	1064335
75	16227	1051378
76	16494	1054571
77	16703	1054014
78	16733	1042367
79	17002	1045660
80	17014	1033287
81	17327	1039207
82	17575	1041200
83	17899	1047545
84	18222	1053704
85	18297	1045494
86	18340	1035685
87	18698	1043708
88	19050	1051214
89	19406	1058730
90	19759	1065941
91	20068	1070615
92	20097	1060413
93	20190	1053796
94	20460	1056409
95	20789	1062007
96	21034	1063224
97	21321	1066497
98	21682	1073370
99	21754	1065984
100	22081	1071079
101	22506	1080745
102	22760	1082113
103	23076	1086389
104	23466	1093984
105	23790	1098390
106	23807	1088682
107	23912	1083133
108	23918	1073248
109	23955	1064913
110	23994	1056836
111	24056	1049914
112	24252	1048863
113	24467	1048684
114	24742	1051038
115	25108	1057147
116	25386	1059526
117	25760	1065783
118	25959	1064772
119	26282	1068805
120	26531	1069807
121	26862	1074045
122	26882	1065902
123	27177	1068694
124	27454	1070741
125	27734	1072826
126	27887	1070055
127	28281	1076480
128	28302	1068707
129	28689	1074740
130	29092	1081301
131	29335	1081859
132	29541	1081031
133	29745	1080157
134	29991	1080817
135	30195	1079923
136	30424	1079957
137	30717	1082230
138	30970	1083089
139	31193	1082868
140	31423	1082883
141	31676	1083691
142	31896	1083358
143	32132	1083564
144	32350	1083191
145	32606	1084042
146	32697	1079468
147	32834	1076426
148	33085	1077161
149	33334	1077805
150	33546	1077254
151	33729	1075778
152	34003	1077237
153	34258	1078041
154	34345	1073577
155	34515	1071761
156	34754	1072080
157	34880	1068931
158	35098	1068622
159	35109	1062059
160	35337	1062098
161	35348	1055662
162	35573	1055646
163	35774	1054902
164	35798	1049015
165	36045	1049651
166	36094	1044587
167	36448	1048333
168	36768	1051066
169	37179	1056333
170	37487	1058635
171	37767	1060118
172	38064	1062063
173	38406	1065225
174	38706	1067194
175	38953	1067678
176	39170	1067327
177	39386	1066966
178	39436	1062135
179	39610	1060686
180	39855	1061124
181	40053	1060321
182	40238	1059182
183	40532	1060884
184	40782	1061452
185	41038	1062150
186	41292	1062775
187	41473	1061537
188	41655	1060348
189	41870	1059976
190	42111	1060289
191	42486	1063942
192	42739	1064505
193	42983	1064826
194	43199	1064474
195	43424	1064351
196	43719	1065913
197	43923	1065259
198	44143	1065001
199	44369	1064879
200	44580	1064390
201	44744	1062782
202	44968	1062639
203	45166	1061847
204	45401	1061958
205	45609	1061423
206	45806	1060631
207	46082	1061669
208	46338	1062230
209	46636	1063754
210	47075	1068453
211	47297	1068207
212	47540	1068426
213	47773	1068419
214	48032	1068995
215	48464	1073402
216	48962	1079202
217	49452	1084774
218	49956	1090605
219	50382	1094684
220	50677	1095868
221	51003	1097733
222	51234	1097529
223	51472	1097466
224	51673	1096627
225	51940	1097181
226	52147	1096480
227	52356	1095816
228	52559	1095029
229	52812	1095277
230	53059	1095422
231	53267	1094741
232	53448	1093524
233	53652	1092777
234	53874	1092395
235	54106	1092227
236	54284	1090952
237	54482	1090115
238	54731	1090283
239	54911	1089086
240	55097	1087994
241	55296	1087202
242	55535	1087166
243	55728	1086252
244	55971	1086303
245	56193	1085941
246	56402	1085344
247	56622	1084963
248	56794	1083654
249	57007	1083149
250	57260	1083383
251	57483	1083066
252	57703	1082678
253	57915	1082157
254	58149	1082035
255	58503	1084151
256	58812	1085394
257	59069	1085697
258	59502	1089203
259	59783	1089894
260	59989	1089230
261	60259	1089735
262	60536	1090354
263	60763	1090065
264	60995	1089863
265	61243	1089957
266	61520	1090556
